DATE,TIME,MODEL CODE,TYPE,BARCODE,SERIAL No.,PASS/NG,50Hz WATTAGE,50Hz WATTAGE FLUCTUATED,50Hz AIR VOLUME,50Hz AIR VOLUME FLUCTUATED,50Hz CLOSED PRESSURE,50Hz CLOSED PRESSURE FLUCTUATED,50Hz AMPERAGE,50Hz AMPERAGE FLUCTUATED,60Hz WATTAGE,60Hz WATTAGE FLUCTUATED,60Hz AIR VOLUME,60Hz AIR VOLUME FLUCTUATED,60Hz CLOSED PRESSURE,60Hz CLOSED PRESSURE FLUCTUATED,60Hz AMPERAGE,60Hz AMPERAGE FLUCTUATED
25/07/2025,10:56:42,120LL2400P,N,,725007432,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.4,0.3999999999999915,111.0,1.0,41.8,0.19999999999999574,0.921,0.0030000000000000027
25/07/2025,11:11:15,120LL2400P,N,,725007433,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.8,0.3999999999999915,113.0,2.0,41.0,0.7999999999999972,0.918,0.0030000000000000027
25/07/2025,11:12:27,120LL2400P,N,,725007434,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,3.200000000000003,114.0,1.0,43.0,2.0,0.943,0.02499999999999991
25/07/2025,11:13:41,120LL2400P,N,,725007435,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.3,2.700000000000003,112.0,2.0,40.9,2.1000000000000014,0.921,0.02199999999999991
25/07/2025,11:15:35,120LL2400P,N,,725007436,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8,1.5,113.0,1.0,42.1,1.2000000000000028,0.941,0.019999999999999907
25/07/2025,11:16:56,120LL2400P,N,,725007437,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,1.0,113.0,0.0,42.0,0.10000000000000142,0.934,0.006999999999999895
25/07/2025,11:20:49,120LL2400P,N,,725007438,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.6,1.7999999999999972,114.0,1.0,42.5,0.5,0.951,0.016999999999999904
25/07/2025,11:22:54,120LL2400P,N,,725007439,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.1,2.5,112.0,2.0,41.5,1.0,0.919,0.03199999999999992
25/07/2025,11:24:20,120LL2400P,N,,725007440,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,1.9000000000000057,113.0,1.0,41.6,0.10000000000000142,0.95,0.030999999999999917
25/07/2025,11:28:18,120LL2400P,N,,725007441,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.1,0.09999999999999432,114.0,1.0,41.7,0.10000000000000142,0.933,0.016999999999999904
